time_of_reading,reading
44438,1
44438,1
44438,1
44438,0
44439,0
44439,0
44439,0
44439,0
44439,0
44439,0
44439,0
44439,0
44439,0
44439,0
44440,0
44440,0
44440,0
44440,0
44440,0
44440,0
44440,0
44440,0
44440,0
44441,1
44441,1
44441,1
44441,1
44441,1
44441,1
44441,1
44441,1
44441,1
44441,1
44442,0
44442,0
44442,0
44442,0
44442,0
44442,0
44442,0
44442,0
44442,0
44443,1
44443,1
44443,1
44443,1
44443,1
44443,1
44443,1
44443,1
44443,1
44443,1
44444,0
44444,0
44444,0
44444,0
44444,0
44444,0
44444,0
44444,0
44444,0
44444,1
44445,1
44445,1
44445,1
44445,1
44445,1
44445,1
44445,1
44445,1
44445,1
44445,0
44446,0
44446,0
44446,0
44446,0
44446,0
44446,0
44446,0
44446,0
44446,1
44447,1
44447,1
44447,1
44447,1
44447,1
44447,1
44447,1
44447,1
44447,1
44447,0
44448,0
44448,0
44448,0
44448,0
44448,0
44448,0
44448,0
44448,0
44448,1
44448,1
44449,1
44449,1
44449,1
44449,1
44449,1
44449,1
44449,1
44449,1
44449,0
44449,0
44450,0
44450,0
44450,0
44450,0
44450,0
44450,0
44450,0
44450,1
44450,1
44450,1
44451,1
44451,1
44451,1
44451,1
44451,1
44451,1
44451,1
44451,0
44451,0
44451,0
44452,0
44452,0
44452,0
44452,0
44452,0
44452,0
44452,1
44452,1
44452,1
44452,1
44453,1
44453,1
44453,1
44453,1
44453,1
44453,1
44453,0
44453,0
44453,0
44453,0
44454,0
44454,0
44454,0
44454,0
44454,0
44454,0
44454,1
44454,1
44454,1
44454,1
44455,1
44455,1
44455,1
44455,1
44455,1
44455,1
44455,0
44455,0
44455,0
44456,0
44456,0
44456,0
44456,0
44456,0
44456,0
44456,1
44456,1
44456,1
44456,1
44457,1
44457,1
44457,1
44457,1
44457,1
44457,0
44457,0
44457,0
44457,0
44457,0
44458,0
44458,0
44458,0
44458,0
44458,0
44458,1
44458,1
44458,1
44458,1
44458,1
44459,1
44459,1
44459,1
44459,1
44459,1
44459,0
44459,0
44459,0
44459,0
44459,0
44460,0
44460,0
44460,0
44460,0
44460,1
44460,1
44460,1
44460,1
44460,1
44460,1
44461,1
44461,1
44461,1
44461,1
44461,0
44461,0
44461,0
44461,0
44461,0
44462,0
44462,0
44462,0
44462,0
44462,1
44462,1
44462,1
44462,1
44462,1
44462,1
44463,1
44463,1
44463,1
44463,1
44463,0
44463,0
